ID,name,label,category
A9,2012年7月21日重庆暴雨集合预报试验,Title,Case name
A10,2012年东北地区重大天气过程WRF模式预报效果检验,Title,Case name
A11,2012年宁夏“7·29”大暴雨过程的数值模拟研究!,Title,Case name
A17,2014年辽宁地区一次短时暴雨过程多尺度特征分析,Title,Case name
A23,2016年华东沿海一次大范围平流雾成因的数值研究,Title,Case name
A24,2017年夏季秦岭降水的数值模拟及其空间分布,Title,Case name
A26,2018年春节期间京津冀地区污染过程分析,Title,Case name
A28,21世纪初中国北方半干旱区土地利用变化对地表温度的影响,Title,Case name
A33,CCSM4/WRF-CMAQ动力降尺度预估RCP8.5情景下京津冀地区空气质量的潜在变化,Title,Case name
A68,WRF模式不同边界层参数化方案模拟兰州冬季边界层高度的研究,Title,Case name
A1_e,"Performance of the WRF model in simulating intense precipitation events over the Hanjiang River Basin, China – A multi-physics ensemble approach",Title,Case name
A3_e,"Comparison of three microphysics parameterization schemes in the WRF model for an extreme rainfall event in the coastal metropolitan City of Guangzhou, China",Title,Case name
A5_e,"Source apportionment of particulate matter based on numerical simulation during a severe pollution period in Tangshan, North China",Title,Case name
A7_e,Numerical simulation of the influence of major meteorological elements on the concentration of air pollutants during rainfall over Sichuan Basin of China,Title,Case name
A11_e,Nitrate debuts as a dominant contributor to particulate pollution in Beijing: Roles of enhanced atmospheric oxidizing capacity and decreased sulfur dioxide emission,Title,Case name
A16_e,"Cold fronts transport features of North China pollutant over Jiangsu Province, China",Title,Case name
A21_e,Impact of emission reduction on aerosol-radiation interaction during heavy pollution periods over Beijing-Tianjin-Hebei region in China,Title,Case name
A36_e,"Impact of different microphysics and cumulus parameterizations in WRF for heavy rainfall simulations in the central segment of the Tianshan Mountains, China",Title,Case name
A45_e,"Increasing wintertime ozone levels and secondary aerosol formation in the Guanzhong basin, central China",Title,Case name
A37_e,Sensitivity of rainfall and submonthly oscillations to moist physical processes schemes on Hainan island in autumn,Title,Case name
A70,WRF模式不同陆面过程方案模拟兰州新区低空气象场特征,Title,Case name
A72,WRF模式不同云参数化方案的暴雨预报能力检验及集成试验,Title,Case name
A74,WRF模式参数化方案对江西山地风电场的风模拟研究,Title,Case name
A79,WRF模式对济南地区夏季近地面气象场模拟效果评估,Title,Case name
A83,WRF模式对乌鲁木齐机场一次冻雾天气的数值预报对比试验分析,Title,Case name
A85,WRF模式对西南地区干旱事件的模拟研究,Title,Case name
A90,WRF模式气象要素模拟精度的验证及订正——以南疆区域为例,Title,Case name
A91,WRF模式同化系统对不同观测数据集的应用对比研究,Title,Case name
A93,WRF模式物理过程参数化方案对酒泉地区暴雨模拟的影响,Title,Case name
A96,WRF模式在天山地区模拟能力的敏感性评估,Title,Case name
A97,WRF模式中QNSE方案的湍流长度尺度系数的调整试验研究,Title,Case name
A100,WRF模式中不同参数化方案对华中地区一次强降水天气过程模拟的影响,Title,Case name
A101,WRF模式中不同土地利用数据对新疆一次高温天气模拟的影响,Title,Case name
A110,WRF土地利用/覆被数据优选及其在城市热岛模拟中的应用,Title,Case name
A113,WRF中不同积云对流参数化方案对青岛降水预报影响的对比分析,Title,Case name
A116,安徽一次暴雨过程的数值模拟与诊断分析,Title,Case name
A135,不同背景场误差样本模拟方案对数值预报的影响——以“苏迪罗”台风为例,Title,Case name
A136,不同边界层参数化方案对江苏地区一次平流雾过程的模拟影响,Title,Case name
A138,不同边界层参数化方案对一次梅雨锋暴雨过程湍流交换特征模拟的影响,Title,Case name
A139,不同边界层方案对台风灿都路径和强度模拟的影响,Title,Case name
A142,不同初始场及其扰动对WRF模拟暴雨的影响,Title,Case name
A143,不同初始场资料对台风“桑美”数值模拟的影响,Title,Case name
A168,城市形态参数对边界层气象条件影响的模拟,Title,Case name
A176,大连机场典型低空风切变的成因分析,Title,Case name
A177,大连市大气污染天气特征及污染成因模拟分析,Title,Case name
A191,滇中地区夏季城市热岛效应的数值模拟研究,Title,Case name
A193,电动汽车普及对江苏冬季大气污染影响的数值模拟,Title,Case name
A194,电力减排对华东空气质量影响的数值模拟,Title,Case name
A206,多普勒雷达资料同化对暴雨预报的影响,Title,Case name
A210,多普勒天气雷达反射率资料的三维变分同化试验,Title,Case name
A238,海陆风环流中海盐气溶胶对大气影响的模拟,Title,Case name
A239,海南岛不同土地覆盖资料对WRF模拟的影响,Title,Case name
A243,杭州城市下垫面变化对污染物扩散影响的研究,Title,Case name
A248,核事故下源项排放率对放射性物质大气扩散及沉降的影响,Title,Case name
A296,基于WRF_Lake模拟的鄱阳湖对局地夏季降水的影响,Title,Case name
A322,基于WRF模式的成都地区热岛效应的模拟研究,Title,Case name
A333,基于WRF模式的青岛沿海地区近地面风的敏感性研究,Title,Case name
A336,基于WRF模式的雅安暴雨数值模拟研究,Title,Case name
A342,基于WRF模式对华北一次飑线过程中雷电活动的间接和直接模拟研究,Title,Case name
A352,基于WRF张弛方法的辽宁地区动力降尺度研究,Title,Case name
L1,Two layer nesting,Nesting adopted by the pattern,Regional settings
L2,"107 °E,30 °N",The center coordinates,Regional settings
L3,30km(d01),Horizontal resolution,Regional settings
L4,10km(d02),Horizontal resolution,Regional settings
L5,50 mb,Model top pressure,Regional settings
L6,100×100(d01),Grid points,Regional settings
L7,211×211(d02),Grid points,Regional settings
L8,35 layers,Vertical layering,Regional settings
L9,"Three layer unidirectional nesting
",Nesting adopted by the pattern,Regional settings
L10,"116°E,42°N",The center coordinates,Regional settings
L11,27km(d01),Horizontal resolution,Regional settings
L12,9km(d02),Horizontal resolution,Regional settings
L13,3km(d03),Horizontal resolution,Regional settings
L14,50 hPa,Model top pressure,Regional settings
L15,37 layers,Vertical layering,Regional settings
L16,"106.13°E, 38.29°N",The center coordinates,Regional settings
L17,36km(d01),Horizontal resolution,Regional settings
L18,12km(d02),Horizontal resolution,Regional settings
L19,4km(d03),Horizontal resolution,Regional settings
L20,180×180(d01),Grid points,Regional settings
L21,195×165(d02),Grid points,Regional settings
L22,276×273(d03),Grid points,Regional settings
L23,19 layers,Vertical layering,Regional settings
L24,"123°E,43°N",The center coordinates,Regional settings
L25,9km(d01),Horizontal resolution,Regional settings
L26,3km(d02),Horizontal resolution,Regional settings
